PMCID,DOI,ArticleType,Received,Accepted,ReviewTime,URL of Editorial Board,EIC is author,Associate Editor is author,Editorial Board member is author,Comment,Type by journal,Type by me,Binary type
PMC7164635,10.1126/science.abb2762,Journal Article,12/02/2020,03/03/2020,20,https://www.sciencemag.org/about/editors-and-editorial-boards,0,0,0,Article,Research article,Article,Article
PMC7211051,10.1007/s00066-020-01635-7,Journal Article / Review,15/04/2020,05/05/2020,20,https://www.springer.com/journal/66/editors,0,2,0,Review,Review Article,Review,Editorial
PMC7210799,10.1186/s13643-020-01371-0,Journal Article,07/04/2020,27/04/2020,20,https://systematicreviewsjournal.biomedcentral.com/about/editorial-board,0,1,0,Article,Protocol,Protocol,Article
PMC7307933,10.12659/AJCR.925512,Journal Article,28/04/2020,18/05/2020,20,https://www.amjcaserep.com/editorialBoard,0,0,0,Case report,Case report,Case report,Article
PMC7198992,10.1016/j.jagp.2020.04.027,Journal Article,06/04/2020,26/04/2020,20,https://www.sciencedirect.com/journal/the-american-journal-of-geriatric-psychiatry/about/editorial-board,0,1,0,Case report,Special issue article,Case report,Article
PMC7253089,10.4269/ajtmh.20-0380,Journal Article / Editorial,08/04/2020,28/04/2020,20,http://www.ajtmh.org/editorial-board,1,0,0,Editorial,Editorial,Editorial,Editorial
PMC7255734,10.1016/j.cjca.2020.05.030,Journal Article,04/05/2020,24/05/2020,20,https://www.sciencedirect.com/journal/canadian-journal-of-cardiology/about/editorial-board,0,0,0,Article,Brief Rapid Report,Article,Article
PMC7241392,10.1016/j.cjca.2020.05.024,Journal Article,27/04/2020,17/05/2020,20,https://www.sciencedirect.com/journal/canadian-journal-of-cardiology/about/editorial-board,0,0,1,Perspectives,-,Article,Article
PMC7243392,10.1183/13993003.01348-2020,Journal Article / Editorial,23/04/2020,13/05/2020,20,https://erj.ersjournals.com/journal/editorial-board,0,0,0,Perspectives,Editorial,Editorial,Editorial
PMC7144262,10.1183/13993003.00632-2020,Journal Article / Editorial,10/03/2020,30/03/2020,20,https://erj.ersjournals.com/journal/editorial-board,0,1,0,Editorial,Editorial,Consensus,Editorial
PMC7313499,10.1016/j.jadohealth.2020.06.009,Journal Article,18/05/2020,07/06/2020,20,https://www.sciencedirect.com/journal/journal-of-adolescent-health/about/editorial-board,0,0,0,Article,Original article,Article,Article
PMC7313967,10.1093/jalm/jfaa079,Journal Article,21/04/2020,11/05/2020,20,https://academic.oup.com/jalm/pages/Editorial_Board,0,0,1,Article,-,Article,Article
PMC7267632,10.1002/lary.28734,Journal Article,02/04/2020,22/04/2020,20,https://onlinelibrary.wiley.com/page/journal/15314995/homepage/editorialboard.html,0,0,0,Contemporary Review ,Contemporary Review,Review,Editorial
PMC7194535,10.1016/j.jtos.2020.03.010,Journal Article / Editorial,28/02/2020,19/03/2020,20,https://www.sciencedirect.com/journal/the-ocular-surface/about/editorial-board,0,0,0,Article,-,Article,Article
PMC7272798,10.1634/theoncologist.2020-0316,Journal Article,16/04/2020,06/05/2020,20,https://theoncologist.onlinelibrary.wiley.com/pb-assets/assets/1549490X/ONCOedboard-1596722178200.pdf,0,0,0,Article,-,Review,Editorial
PMC7243761,10.1016/j.scitotenv.2020.139611,Journal Article,29/04/2020,19/05/2020,20,https://www.sciencedirect.com/journal/science-of-the-total-environment/about/editorial-board,0,0,0,Perspective,-,Review,Editorial
PMC7242204,10.1016/j.scitotenv.2020.139612,Journal Article,29/04/2020,19/05/2020,20,https://www.sciencedirect.com/journal/science-of-the-total-environment/about/editorial-board,0,0,0,Article,-,Article,Article
PMC7229977,10.1016/j.waojou.2020.100124,Journal Article / Letter,17/04/2020,07/05/2020,20,https://www.sciencedirect.com/journal/world-allergy-organization-journal/about/editorial-board,0,2,0,Editorial,Correspondence,Correspondence,Editorial
PMC7221365,10.1016/j.waojou.2020.100125,Journal Article / Review,17/04/2020,07/05/2020,20,https://www.sciencedirect.com/journal/world-allergy-organization-journal/about/editorial-board,1,0,0,Article,-,Review,Editorial
PMC7219400,10.1016/j.thromres.2020.05.018,Journal Article,22/04/2020,12/05/2020,20,https://www.sciencedirect.com/journal/thrombosis-research/about/editorial-board,0,0,0,Article,Full Length Article ,Article,Article
PMC7267155,10.1111/tid.13334,Journal Article,25/04/2020,15/05/2020,20,https://onlinelibrary.wiley.com/page/journal/13993062/homepage/editorialboard.html,0,0,0,Case report,Short Communication,Case report,Article
PMC7154063,10.1186/s41182-020-00203-0,Journal Article / Case Report,02/03/2020,22/03/2020,20,https://tropmedhealth.biomedcentral.com/about/editorial-board,0,0,1,Case report,Case report,Case report,Article
PMC7311152,10.5152/TurkThoracJ.2020.20052,Journal Article / Review,09/04/2020,29/04/2020,20,https://turkthoracj.org/en/editorial-board-1016,0,0,1,Review,Review,Review,Editorial
PMC7138902,10.1007/s13337-020-00575-1,Journal Article / Review,22/02/2020,13/03/2020,20,https://www.springer.com/journal/13337/editors,0,0,0,Review,Review Article,Review,Editorial
PMC7278255,10.1186/s13017-020-00317-0,Journal Article / Letter,08/05/2020,28/05/2020,20,https://wjes.biomedcentral.com/about/editorial-board,1,0,2,Commentary,Commentary,Commentary,Editorial
PMC7255727,10.1016/j.wneu.2020.05.192,Journal Article,30/04/2020,20/05/2020,20,https://www.sciencedirect.com/journal/world-neurosurgery/about/editorial-board,0,0,0,Article,Original article,Article,Article
PMC7272237,10.1007/s10389-020-01305-z,Journal Article,17/04/2020,07/05/2020,20,https://www.springer.com/journal/10389/editors,0,0,0,Article,Original article,Article ,Article
PMC7213550,10.1007/s10389-020-01294-z,Journal Article / Review,02/04/2020,22/04/2020,20,https://www.springer.com/journal/10389/editors,0,0,0,Review,Review Article,Review,Editorial
